time,cumulative,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-28 02:00:00,1.464,3.109,3.938,6.501,0.0
2024-04-28 03:00:00,1.464,3.103,3.935,6.476,0.0
2024-04-28 04:00:00,1.464,3.098,3.93,6.456,0.0
2024-04-28 05:00:00,1.464,3.093,3.926,6.433,0.0
2024-04-28 06:00:00,1.464,3.091,3.924,6.413,-1.115
2024-04-28 07:00:00,1.464,3.088,3.922,6.396,0.23
2024-04-28 08:00:00,1.464,3.088,3.929,6.381,0.0
2024-04-28 09:00:00,1.464,3.089,3.929,6.372,0.0
2024-04-28 10:00:00,1.768,3.089,3.931,6.358,0.0
2024-04-28 11:00:00,1.837,3.09,3.934,6.348,0.0
2024-04-28 12:00:00,1.162,3.091,3.935,6.34,0.0
2024-04-28 13:00:00,1.567,3.092,3.936,6.334,2.432
2024-04-28 14:00:00,1.855,3.097,3.94,6.421,4.11
2024-04-28 15:00:00,1.641,3.093,3.938,6.528,4.111
2024-04-28 16:00:00,1.679,3.104,3.918,6.494,4.132
2024-04-28 17:00:00,1.88,3.109,3.895,6.525,4.115
2024-04-28 18:00:00,1.739,3.109,3.903,6.563,4.084
2024-04-28 19:00:00,1.379,3.12,3.907,6.528,4.111
2024-04-28 20:00:00,1.379,3.138,3.903,6.504,4.111
2024-04-28 21:00:00,1.889,3.148,3.896,6.494,4.05
2024-04-28 22:00:00,1.784,3.151,3.887,6.457,4.043
2024-04-28 23:00:00,1.784,3.156,3.885,6.457,4.043
2024-04-29 00:00:00,1.784,3.16,3.887,6.466,4.043
2024-04-29 01:00:00,1.784,3.16,3.888,6.451,-0.744
2024-04-29 02:00:00,1.784,3.156,3.889,6.416,0.0
2024-04-29 03:00:00,1.784,3.154,3.889,6.382,0.0
2024-04-29 04:00:00,1.784,3.151,3.885,6.365,0.0
2024-04-29 05:00:00,1.784,3.151,3.884,6.346,0.0
2024-04-29 06:00:00,1.784,3.151,3.883,6.33,0.0
